dataset: isotropic1024coarse, variable: velocity, time: 0.02, temporal method: none, spatial method: lag8, spatial operator: field						
time	x_point	y_point	z_point	ux	uy	uz
0.02	0.0	0.9	0.29171931783333793	-0.13346442580223083	-1.2383270263671875	-0.7551968693733215
0.02	0.0	0.9	0.2991993003418851	-0.11904525756835938	-1.276423454284668	-0.7661969065666199
0.02	0.0	0.9	0.3066792828504322	-0.1072528213262558	-1.2995944023132324	-0.7774948477745056
0.02	0.0	0.9	0.3141592653589793	-0.1047995314002037	-1.3128646612167358	-0.7849165201187134
0.02	0.0	0.9	0.32163924786752646	-0.10857577621936798	-1.3193730115890503	-0.7911486029624939
0.02	0.0	0.9	0.3291192303760736	-0.11660239845514297	-1.3283675909042358	-0.7924410104751587
0.02	0.0	0.9	0.3365992128846207	-0.12363285571336746	-1.339861273765564	-0.7878061532974243
0.02	0.0	0.9	0.34407919539316784	-0.13125263154506683	-1.3511557579040527	-0.779647946357727
0.02	0.0	0.9	0.351559177901715	-0.13695736229419708	-1.3679161071777344	-0.7682179808616638
0.02	0.0	0.9	0.35903916041026207	-0.14630693197250366	-1.383043885231018	-0.7541440725326538
0.02	0.0	0.9	0.3665191429188092	-0.1577513962984085	-1.3994373083114624	-0.7388488054275513
0.02	0.0	0.9	0.37399912542735636	-0.1682693064212799	-1.4182565212249756	-0.725524365901947
0.02	0.0	0.9	0.38147910793590345	-0.17554420232772827	-1.4368993043899536	-0.7128507494926453
0.02	0.0	0.9	0.3889590904444506	-0.17302316427230835	-1.4583159685134888	-0.6989107728004456
0.02	0.0	0.9	0.39643907295299774	-0.15908999741077423	-1.4757739305496216	-0.6855475902557373
0.02	0.0	0.9	0.40391905546154483	-0.14366188645362854	-1.4928234815597534	-0.6786163449287415
0.02	0.0	0.9	0.411399037970092	-0.13203701376914978	-1.4935775995254517	-0.6844078302383423
0.02	0.0	0.9	0.4188790204786391	-0.1362881064414978	-1.4839835166931152	-0.7016869187355042
0.02	0.0	0.9	0.4263590029871862	-0.14910735189914703	-1.4678834676742554	-0.7317831516265869
0.02	0.0	0.9	0.43383898549573335	-0.16115914285182953	-1.4555294513702393	-0.7666910886764526
0.02	0.0	0.9	0.4413189680042805	-0.16443181037902832	-1.449526309967041	-0.8039789795875549
0.02	0.0	0.9	0.4487989505128276	-0.15564000606536865	-1.4510658979415894	-0.84140944480896
0.02	0.0	0.9	0.45627893302137473	-0.14060072600841522	-1.4574382305145264	-0.8711097240447998
0.02	0.0	0.9	0.4637589155299219	-0.1189497709274292	-1.4722647666931152	-0.8967522382736206
0.02	0.0	0.9	0.47123889803846897	-0.0972597673535347	-1.4964700937271118	-0.9193238019943237
0.02	0.019946620022792336	0.9	0.0	0.0038237147964537144	-0.2727232575416565	-0.6538650989532471
0.02	0.019946620022792336	0.9	0.007479982508547127	-0.01570998877286911	-0.3150922954082489	-0.6518769264221191
0.02	0.019946620022792336	0.9	0.014959965017094254	-0.022245245054364204	-0.3892912268638611	-0.6645572185516357
0.02	0.019946620022792336	0.9	0.02243994752564138	0.005206782836467028	-0.4975438117980957	-0.7192330956459045
0.02	0.019946620022792336	0.9	0.029919930034188507	0.049841031432151794	-0.5886445045471191	-0.764199435710907
0.02	0.019946620022792336	0.9	0.037399912542735635	0.08977048099040985	-0.6332155466079712	-0.7671656608581543
0.02	0.019946620022792336	0.9	0.04487989505128276	0.07800689339637756	-0.6680698990821838	-0.7507205009460449
0.02	0.019946620022792336	0.9	0.05235987755982989	0.0008801484946161509	-0.7105817794799805	-0.7401704788208008
0.02	0.019946620022792336	0.9	0.059839860068377014	-0.09086038917303085	-0.7689306735992432	-0.762303352355957
0.02	0.019946620022792336	0.9	0.06731984257692414	-0.14027950167655945	-0.8460354208946228	-0.8203561305999756
0.02	0.019946620022792336	0.9	0.07479982508547127	-0.14046034216880798	-0.9225569367408752	-0.8784193992614746
0.02	0.019946620022792336	0.9	0.0822798075940184	-0.11414137482643127	-0.9420015811920166	-0.9004448652267456
0.02	0.019946620022792336	0.9	0.08975979010256552	-0.09185735136270523	-0.9407712817192078	-0.891642689704895
0.02	0.019946620022792336	0.9	0.09723977261111265	-0.0924229621887207	-0.9374597072601318	-0.8647743463516235
0.02	0.019946620022792336	0.9	0.10471975511965978	-0.10797017067670822	-0.9410142302513123	-0.8337283134460449
0.02	0.019946620022792336	0.9	0.1121997376282069	-0.12672674655914307	-0.9470306634902954	-0.8080352544784546
